"na terenie Warszawy, ewentualnie w jej bliskich okolicach",,,,,,,,
,,,,,,,,
Prep,Location,TownName,QuarterName,,,,,
Na terenie Warszawy Mokotów,,,,,,,,
,,,,,,,,
Prep,Location,OrganizationType,,,,,,
W siedzibie firmy,,,,,,,,
,,,,,,,,
Prep,LocationApr,,,,,,,
w okolicy,,,,,,,,
,,,,,,,,
Prep,LocationApr,LocationApr,,,,,,
w okolicy centrum,,,,,,,,
,,,,,,,,
Prep,LocationApr,Quarter,QuarterName,,,,,
w pobliżu dzielnicy Ochota,,,,,,,,
,,,,,,,,
Prep,LocationApr,QuarterName,,,,,,
w okolicach Mokotowa,,,,,,,,
,,,,,,,,
Prep,LocationApr,StreetName,,,,,,
w pobliżu Mieszczańskiej,,,,,,,,
